label,k,m,ring_dim,depth,phase_init_ms,phase_insert_ms,phase_delete_ms,phase_signature_ms,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error,ops_insert_per_sec,ops_delete_per_sec
accuracy_0.100000_t28,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t29,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t30,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t31,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t32,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t33,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t34,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t35,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t36,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t37,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t38,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
