scenario,method,security_class,universe_size,set_size,k,m,ring_dim,num_cts,mult_depth,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,comm_bytes,jaccard_computed,jaccard_expected,jaccard_error,jaccard_rel_error,trials,total_ms_sd,total_ms_median,phase_encode_ms_sd,phase_encode_ms_median,phase_encrypt_ms_sd,phase_encrypt_ms_median,phase_compute_ms_sd,phase_compute_ms_median,phase_decrypt_ms_sd,phase_decrypt_ms_median,rel_error_eligible_n,model
vary_m_16,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.137,99.701,399.225,10.569,509.632,411598848,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,26.497,504.075,0.029,0.137,3.850,98.890,25.761,396.601,4.544,8.477,3,3-party-outsourced
vary_m_32,piccard,CPA/no-leakage,65536,1000,128,32,8192,1,1,0.703,15.616,41.659,0.834,58.812,416366592,263011,789033,0.346774,0.333333,0.013441,0.040323,3,4.204,56.943,0.012,0.708,0.952,15.778,3.646,40.826,0.039,0.813,3,3-party-outsourced
vary_m_32,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.137,99.701,399.225,10.569,509.632,411598848,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,26.497,504.075,0.029,0.137,3.850,98.890,25.761,396.601,4.544,8.477,3,3-party-outsourced
vary_m_64,piccard,CPA/no-leakage,65536,1000,128,64,8192,1,1,0.735,18.194,49.704,0.963,69.596,421576704,263011,789033,0.349206,0.333333,0.015873,0.047619,3,6.460,66.919,0.164,0.723,4.534,15.773,9.237,47.320,0.122,0.907,3,3-party-outsourced
vary_m_64,piccard_sqrt,CPA/no-leakage,65536,1000,128,64,8192,1,3,0.825,21.582,103.745,1.188,127.339,431849472,394205,1182615,0.349206,0.333333,0.015873,0.047619,3,20.231,125.003,0.171,0.741,1.595,20.759,20.666,99.629,0.032,1.201,3,3-party-outsourced
vary_m_64,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.137,99.701,399.225,10.569,509.632,411598848,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,26.497,504.075,0.029,0.137,3.850,98.890,25.761,396.601,4.544,8.477,3,3-party-outsourced
vary_m_128,piccard,CPA/no-leakage,65536,1000,128,128,16384,1,1,0.964,31.731,94.331,2.084,129.110,453427200,525155,1575465,0.346457,0.333333,0.013123,0.039370,3,11.170,132.043,0.223,0.998,1.127,31.221,11.511,97.934,0.766,1.721,3,3-party-outsourced
vary_m_128,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.137,99.701,399.225,10.569,509.632,411598848,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,26.497,504.075,0.029,0.137,3.850,98.890,25.761,396.601,4.544,8.477,3,3-party-outsourced
vary_m_256,piccard,CPA/no-leakage,65536,1000,128,256,32768,1,1,0.942,52.828,184.590,3.805,242.165,494534656,1049443,3148329,0.349020,0.333333,0.015686,0.047059,3,24.707,232.575,0.319,0.781,9.257,55.757,22.029,176.463,0.518,3.985,3,3-party-outsourced
vary_m_256,piccard_sqrt,CPA/no-leakage,65536,1000,128,256,8192,1,3,1.244,23.897,97.357,2.063,124.561,501547008,394205,1182615,0.349020,0.333333,0.015686,0.047059,3,6.049,125.390,0.901,0.733,0.651,23.844,6.618,94.970,1.299,1.327,3,3-party-outsourced
vary_m_256,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.137,99.701,399.225,10.569,509.632,411598848,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,26.497,504.075,0.029,0.137,3.850,98.890,25.761,396.601,4.544,8.477,3,3-party-outsourced
vary_universe_16384,piccard,CPA/no-leakage,16384,1000,128,64,8192,1,1,0.675,16.749,41.743,0.948,60.116,541638656,263011,789033,0.291005,0.333333,0.042328,0.126984,3,3.417,60.156,0.186,0.576,1.827,15.784,4.011,39.479,0.099,0.970,3,3-party-outsourced
vary_universe_16384,piccard_sqrt,CPA/no-leakage,16384,1000,128,64,8192,1,3,0.709,21.088,88.280,1.169,111.246,541638656,394205,1182615,0.291005,0.333333,0.042328,0.126984,3,7.586,111.623,0.014,0.709,0.734,20.887,7.363,87.849,0.022,1.166,3,3-party-outsourced
vary_universe_16384,baseline,KPA/leakage,16384,1000,0,0,16384,1,0,0.046,35.035,85.774,1.672,122.526,541638656,525155,1575465,0.333333,0.333333,0.000000,0.000000,3,2.508,121.187,0.003,0.044,0.499,35.122,2.566,84.783,0.120,1.648,3,3-party-outsourced
vary_universe_16384,bcg12_mh_ff,AHE/no-leakage,16384,1000,128,0,0,0,0,1733.617,75.057,153.738,78.632,2041.045,541638656,49152,102400,0.291667,0.333333,0.041667,0.125000,3,79.061,1997.983,71.294,1693.651,4.274,73.279,3.266,153.010,4.837,78.735,3,2-party
